2017-04-14 18:59:33,581 - root - INFO - Epoch:3, Episode:8, Steps Left:67587/5000/100000, Reward:-88.000000, fps:487.420364, Exploration:0.739432, Collision:[-108. -124.  -70.], Reward Behavior:[ 25.  44.  30.   0.], Avg Loss:3.911544/100, Avg Q Value:0.813352/1323 
2017-04-14 18:59:44,566 - root - INFO - Epoch:3, Episode:9, Steps Left:62587/5000/100000, Reward:-109.000000, fps:455.185276, Exploration:0.734932, Collision:[-106. -100.  -74.], Reward Behavior:[ 17.  32.  33.   0.], Avg Loss:3.904716/100, Avg Q Value:0.805533/1288 
2017-04-14 18:59:45,475 - root - INFO - Epoch:3, Episode:10, Steps Left:62164/423/100000, Reward:-9.000000, fps:465.612317, Exploration:0.734550, Collision:[-10.  -5.  -2.], Reward Behavior:[ 2.  2.  0.  0.], Avg Loss:4.300735/8, Avg Q Value:0.830411/129 
2017-04-14 18:59:56,326 - root - INFO - Epoch:3, Episode:11, Steps Left:57260/4904/100000, Reward:-82.000000, fps:451.963942, Exploration:0.730136, Collision:[-103. -101.  -49.], Reward Behavior:[ 26.  21.  35.   0.], Avg Loss:4.065173/98, Avg Q Value:0.782348/1340 
2017-04-14 19:00:00,746 - root - INFO - Epoch:3, Episode:12, Steps Left:55243/2017/100000, Reward:-11.000000, fps:456.427381, Exploration:0.728320, Collision:[-48. -42. -15.], Reward Behavior:[ 16.  16.  13.   0.], Avg Loss:3.539115/41, Avg Q Value:0.840939/549 
2017-04-14 19:00:11,171 - root - INFO - Epoch:3, Episode:13, Steps Left:50243/5000/100000, Reward:-14.000000, fps:479.626883, Exploration:0.723820, Collision:[-96. -99. -73.], Reward Behavior:[ 45.  49.  25.   0.], Avg Loss:4.004129/100, Avg Q Value:0.862564/1340 
2017-04-14 19:00:21,857 - root - INFO - Epoch:3, Episode:14, Steps Left:45243/5000/100000, Reward:2.000000, fps:467.928817, Exploration:0.719320, Collision:[-97. -80. -60.], Reward Behavior:[ 25.  54.  31.   0.], Avg Loss:3.785213/100, Avg Q Value:0.895408/1416 
2017-04-14 19:00:26,429 - root - INFO - Epoch:3, Episode:15, Steps Left:43135/2108/100000, Reward:-51.000000, fps:461.127673, Exploration:0.717422, Collision:[-38. -38. -36.], Reward Behavior:[ 11.  15.   2.   0.], Avg Loss:3.062554/42, Avg Q Value:0.796800/604 
2017-04-14 19:00:36,348 - root - INFO - Epoch:3, Episode:16, Steps Left:38135/5000/100000, Reward:-47.000000, fps:504.125052, Exploration:0.712922, Collision:[ -78. -115.  -54.], Reward Behavior:[ 28.  35.  32.   0.], Avg Loss:3.935883/100, Avg Q Value:0.889772/1385 
2017-04-14 19:00:46,548 - root - INFO - Epoch:3, Episode:17, Steps Left:33135/5000/100000, Reward:-48.000000, fps:490.185890, Exploration:0.708422, Collision:[-91. -91. -71.], Reward Behavior:[ 32.  30.  34.   0.], Avg Loss:4.167709/100, Avg Q Value:0.983187/1449 
2017-04-14 19:00:57,211 - root - INFO - Epoch:3, Episode:18, Steps Left:28135/5000/100000, Reward:-60.000000, fps:468.933705, Exploration:0.703922, Collision:[-101. -112.  -62.], Reward Behavior:[ 27.  30.  38.   0.], Avg Loss:3.492812/100, Avg Q Value:0.958218/1452 
2017-04-14 19:01:00,414 - root - INFO - Epoch:3, Episode:19, Steps Left:26688/1447/100000, Reward:-23.000000, fps:451.914226, Exploration:0.702618, Collision:[-19. -26. -20.], Reward Behavior:[ 8.  6.  5.  0.], Avg Loss:3.525826/29, Avg Q Value:0.922096/440 
2017-04-14 19:01:01,777 - root - INFO - Epoch:3, Episode:20, Steps Left:26014/674/100000, Reward:-2.000000, fps:494.887445, Exploration:0.702011, Collision:[-12.  -9.  -7.], Reward Behavior:[ 5.  5.  2.  0.], Avg Loss:4.122589/13, Avg Q Value:1.098431/213 
2017-04-14 19:01:12,066 - root - INFO - Epoch:3, Episode:21, Steps Left:21014/5000/100000, Reward:-76.000000, fps:485.964657, Exploration:0.697511, Collision:[-99. -95. -68.], Reward Behavior:[ 25.  38.  28.   0.], Avg Loss:4.342083/100, Avg Q Value:0.987096/1449 
